1.69245e-03  4.46293e-04  1.14837e-04  1.81403e-04  1.97096e-04  2.08316e-04  1.73171e-04  1.31842e-04  1.04358e-04  8.51162e-05  6.58400e-05  6.65314e-05  6.96412e-05  6.16529e-05  4.24438e-05  3.00148e-05  2.05693e-05  2.07134e-05  2.53646e-05  2.01760e-05  1.02615e-05  5.74818e-06  4.81273e-06  4.12033e-06  2.56463e-07  -3.82200e-04  -1.72780e-04  3.34191e-04  4.30884e-04  2.76159e-04  1.76090e-04  1.37334e-04  1.25742e-04  1.15035e-04  9.71910e-05  7.64324e-05  6.92576e-05  6.91706e-05  6.58729e-05  5.39068e-05  4.13104e-05  2.99687e-05  2.72649e-05  2.93666e-05  2.45538e-05  1.59892e-05  1.01572e-05  7.16063e-06  5.31533e-06  2.33467e-06  2.26350e-04  2.07088e-04  2.00017e-04  2.03657e-04  1.59267e-04  1.27559e-04  9.54871e-05  5.22157e-05  3.66423e-05  1.72818e-05  -7.72856e-06  -6.66039e-06  6.76588e-06  5.41506e-06  -1.76442e-06  -4.76637e-06  -6.98823e-06  -5.68830e-06  4.46225e-06  2.87816e-06  -4.28278e-06  -5.06963e-06  -2.79667e-06  -3.51105e-06  -2.17187e-07  
4.46293e-04  8.99271e-04  5.92014e-04  4.53906e-04  3.81758e-04  3.51706e-04  3.46856e-04  3.05523e-04  2.65439e-04  2.22060e-04  1.79961e-04  1.70572e-04  1.69659e-04  1.49797e-04  1.09742e-04  7.94442e-05  5.63011e-05  5.31418e-05  5.71080e-05  4.00948e-05  1.65764e-05  4.76747e-06  1.72661e-06  3.86759e-06  -1.15066e-06  -1.51726e-04  -9.73484e-05  -2.49053e-05  3.66073e-04  5.20295e-04  4.58894e-04  3.67699e-04  2.98668e-04  2.64061e-04  2.35430e-04  2.00897e-04  1.82219e-04  1.72797e-04  1.58020e-04  1.28687e-04  9.65334e-05  6.72381e-05  5.75985e-05  6.07558e-05  5.25265e-05  3.29061e-05  1.80909e-05  1.23252e-05  1.04108e-05  3.37720e-06  2.11198e-04  3.33801e-04  3.21119e-04  3.41059e-04  2.94658e-04  2.45260e-04  2.07483e-04  1.36492e-04  1.15060e-04  7.67107e-05  2.85999e-05  2.36300e-05  4.21930e-05  3.48886e-05  1.57464e-05  3.49632e-06  -7.02987e-06  -6.80725e-06  1.05797e-05  3.81195e-06  -1.25949e-05  -1.63247e-05  -1.19307e-05  -1.07834e-05  -2.44891e-06  
1.14837e-04  5.92014e-04  1.29560e-03  8.93782e-04  5.99713e-04  5.28875e-04  5.16563e-04  5.09859e-04  4.80027e-04  4.29134e-04  3.65698e-04  3.38889e-04  3.22977e-04  2.81696e-04  2.14161e-04  1.62271e-04  1.19246e-04  1.02115e-04  9.90866e-05  7.31705e-05  3.69420e-05  1.64416e-05  1.04785e-05  1.14589e-05  -1.82760e-06  3.76178e-04  -2.03075e-06  -6.45930e-05  5.02778e-05  4.64837e-04  6.93997e-04  6.68035e-04  5.65556e-04  4.84054e-04  4.29772e-04  3.80215e-04  3.46609e-04  3.20720e-04  2.84719e-04  2.29762e-04  1.74832e-04  1.25683e-04  1.02365e-04  9.78579e-05  8.18567e-05  5.63446e-05  3.59215e-05  2.34793e-05  1.66909e-05  4.87563e-06  2.01623e-04  3.42489e-04  4.07346e-04  4.11976e-04  3.98248e-04  3.64121e-04  3.27909e-04  2.57077e-04  2.28730e-04  1.81974e-04  1.16236e-04  9.64444e-05  1.10760e-04  9.09759e-05  6.14756e-05  4.31781e-05  1.84898e-05  1.13611e-05  2.58780e-05  1.45807e-05  -1.06816e-05  -1.82830e-05  -1.28515e-05  -1.42201e-05  -3.17871e-06  
1.81403e-04  4.53906e-04  8.93782e-04  1.58903e-03  1.14072e-03  7.41650e-04  6.45654e-04  6.35897e-04  6.43010e-04  6.02498e-04  5.27729e-04  4.80468e-04  4.46924e-04  3.89573e-04  3.10964e-04  2.48964e-04  1.91997e-04  1.60679e-04  1.48123e-04  1.07989e-04  6.10573e-05  2.98262e-05  2.01142e-05  1.81275e-05  1.01662e-07  4.79732e-04  3.96577e-04  7.21280e-05  5.70090e-05  1.60330e-04  5.63203e-04  8.32876e-04  8.25533e-04  7.15241e-04  6.06491e-04  5.24269e-04  4.75105e-04  4.37580e-04  3.87359e-04  3.18501e-04  2.48919e-04  1.83090e-04  1.44845e-04  1.31548e-04  1.07959e-04  7.69642e-05  4.99928e-05  3.38102e-05  2.34138e-05  7.37489e-06  2.11579e-04  3.37357e-04  3.98415e-04  4.61207e-04  4.49878e-04  4.46719e-04  4.28756e-04  3.60602e-04  3.36373e-04  2.82045e-04  2.09170e-04  1.72630e-04  1.79108e-04  1.46520e-04  1.09590e-04  8.86546e-05  5.00135e-05  3.40507e-05  4.26392e-05  2.59418e-05  -4.01121e-06  -1.51668e-05  -1.14112e-05  -1.41416e-05  -2.91500e-06  
1.97096e-04  3.81758e-04  5.99713e-04  1.14072e-03  1.92388e-03  1.39463e-03  8.82273e-04  7.39617e-04  7.43403e-04  7.35151e-04  6.70734e-04  6.13444e-04  5.63640e-04  4.90812e-04  4.01973e-04  3.31950e-04  2.64772e-04  2.23109e-04  1.97055e-04  1.45761e-04  8.68519e-05  4.62957e-05  3.03280e-05  2.72518e-05  2.57428e-06  3.25397e-04  5.40072e-04  4.98217e-04  1.99738e-04  2.28212e-04  3.09715e-04  6.91396e-04  9.63102e-04  9.59639e-04  8.22489e-04  6.81532e-04  5.99013e-04  5.49203e-04  4.90478e-04  4.10886e-04  3.28068e-04  2.46700e-04  1.94714e-04  1.70073e-04  1.39945e-04  1.01203e-04  6.77422e-05  4.66037e-05  3.29238e-05  1.01345e-05  1.74672e-04  3.09224e-04  3.93453e-04  4.56835e-04  5.04185e-04  5.05407e-04  5.02475e-04  4.54261e-04  4.31162e-04  3.73076e-04  2.95149e-04  2.51001e-04  2.47899e-04  2.01979e-04  1.60406e-04  1.35398e-04  8.44881e-05  6.40037e-05  6.34628e-05  3.98522e-05  8.31296e-06  -7.92626e-06  -8.01721e-06  -1.01606e-05  -2.39361e-06  
2.08316e-04  3.51706e-04  5.28875e-04  7.41650e-04  1.39463e-03  2.22232e-03  1.61266e-03  1.00306e-03  8.25171e-04  8.10980e-04  7.88282e-04  7.43970e-04  6.85226e-04  5.92294e-04  4.85129e-04  4.00286e-04  3.24199e-04  2.69233e-04  2.33359e-04  1.76444e-04  1.14516e-04  6.54959e-05  4.64056e-05  3.85973e-05  3.73658e-06  2.29250e-04  4.69216e-04  7.14541e-04  6.21665e-04  3.54959e-04  4.22814e-04  4.77445e-04  8.20061e-04  1.07636e-03  1.04697e-03  8.74990e-04  7.27265e-04  6.43346e-04  5.74820e-04  4.90189e-04  3.96954e-04  3.03846e-04  2.37119e-04  2.00531e-04  1.62999e-04  1.22613e-04  8.48806e-05  6.00299e-05  4.09229e-05  1.12354e-05  1.38265e-04  2.55365e-04  3.64352e-04  4.48565e-04  4.99297e-04  5.60138e-04  5.54216e-04  5.24719e-04  5.08067e-04  4.52477e-04  3.77152e-04  3.19253e-04  3.05870e-04  2.54868e-04  2.08543e-04  1.82003e-04  1.22213e-04  9.41030e-05  8.21160e-05  5.68065e-05  2.25507e-05  2.25833e-06  4.60948e-07  -5.69482e-06  -1.36934e-06  
1.73171e-04  3.46856e-04  5.16563e-04  6.45654e-04  8.82273e-04  1.61266e-03  2.44096e-03  1.75920e-03  1.07849e-03  8.49181e-04  8.22117e-04  8.19711e-04  7.73876e-04  6.77326e-04  5.49280e-04  4.52099e-04  3.69105e-04  3.06483e-04  2.61076e-04  2.03364e-04  1.40041e-04  8.64818e-05  6.32705e-05  4.94936e-05  5.15394e-06  1.89896e-04  3.80675e-04  6.70217e-04  8.70891e-04  7.47429e-04  5.09386e-04  5.84713e-04  5.95306e-04  8.96832e-04  1.11760e-03  1.05329e-03  8.63905e-04  7.12917e-04  6.22048e-04  5.37787e-04  4.48009e-04  3.49222e-04  2.70127e-04  2.20938e-04  1.79110e-04  1.37238e-04  9.76246e-05  7.11085e-05  4.81492e-05  1.19454e-05  1.00211e-04  2.05090e-04  3.18943e-04  4.24038e-04  4.90980e-04  5.49818e-04  6.00199e-04  5.60853e-04  5.52401e-04  5.05623e-04  4.37642e-04  3.65052e-04  3.47777e-04  2.92413e-04  2.49250e-04  2.16754e-04  1.58261e-04  1.18889e-04  9.88246e-05  7.23678e-05  3.83946e-05  1.31440e-05  1.20568e-05  -9.16304e-07  1.06094e-07  
1.31842e-04  3.05523e-04  5.09859e-04  6.35897e-04  7.39617e-04  1.00306e-03  1.75920e-03  2.57235e-03  1.83777e-03  1.08446e-03  8.30035e-04  8.14224e-04  8.17681e-04  7.35155e-04  6.09294e-04  4.96812e-04  4.14411e-04  3.45185e-04  2.93062e-04  2.30632e-04  1.70854e-04  1.08317e-04  8.09867e-05  6.29204e-05  7.63529e-06  1.68369e-04  3.15710e-04  5.64661e-04  8.42106e-04  1.00722e-03  8.68574e-04  6.30659e-04  6.97429e-04  6.75522e-04  9.26784e-04  1.10564e-03  1.01484e-03  8.23451e-04  6.68741e-04  5.70505e-04  4.86737e-04  3.96355e-04  3.08241e-04  2.46250e-04  1.96002e-04  1.54916e-04  1.11717e-04  8.38572e-05  5.77666e-05  1.35217e-05  6.38499e-05  1.48469e-04  2.66170e-04  3.74820e-04  4.62093e-04  5.38601e-04  5.72400e-04  6.00570e-04  5.71863e-04  5.39201e-04  4.73857e-04  4.11444e-04  3.77249e-04  3.29724e-04  2.80573e-04  2.53735e-04  1.87880e-04  1.53745e-04  1.16269e-04  9.11539e-05  5.80642e-05  3.09200e-05  2.24606e-05  1.03689e-05  2.01895e-06  
1.04358e-04  2.65439e-04  4.80027e-04  6.43010e-04  7.43403e-04  8.25171e-04  1.07849e-03  1.83777e-03  2.61854e-03  1.81964e-03  1.03132e-03  7.86331e-04  7.72281e-04  7.52076e-04  6.43832e-04  5.38727e-04  4.44340e-04  3.77034e-04  3.11344e-04  2.55849e-04  1.91569e-04  1.29188e-04  9.28287e-05  7.40161e-05  1.04421e-05  1.52335e-04  2.89159e-04  4.97910e-04  7.40753e-04  1.00351e-03  1.13613e-03  9.62609e-04  7.14827e-04  7.65109e-04  6.92002e-04  8.93494e-04  1.04757e-03  9.46526e-04  7.51920e-04  5.93768e-04  5.04094e-04  4.20999e-04  3.38405e-04  2.63086e-04  2.10877e-04  1.65644e-04  1.23865e-04  9.25043e-05  6.56547e-05  1.53555e-05  3.85766e-05  1.08428e-04  2.23053e-04  3.31342e-04  4.27256e-04  5.12568e-04  5.58895e-04  5.68392e-04  6.04250e-04  5.38352e-04  5.00721e-04  4.25447e-04  4.01663e-04  3.41345e-04  3.10373e-04  2.67915e-04  2.17618e-04  1.72537e-04  1.34689e-04  1.00937e-04  7.87541e-05  4.17273e-05  3.56155e-05  1.71974e-05  4.11376e-06  
8.51162e-05  2.22060e-04  4.29134e-04  6.02498e-04  7.35151e-04  8.10980e-04  8.49181e-04  1.08446e-03  1.81964e-03  2.53604e-03  1.70882e-03  9.25761e-04  7.09134e-04  6.72902e-04  6.35665e-04  5.45127e-04  4.67177e-04  3.79712e-04  3.17091e-04  2.59035e-04  2.08122e-04  1.38593e-04  1.07655e-04  7.77775e-05  1.21660e-05  1.28977e-04  2.62079e-04  4.54343e-04  6.49659e-04  8.76073e-04  1.11121e-03  1.19205e-03  9.81566e-04  7.11329e-04  7.22147e-04  6.08536e-04  7.84980e-04  9.44098e-04  8.38403e-04  6.43706e-04  4.94313e-04  4.13463e-04  3.36231e-04  2.68220e-04  2.10682e-04  1.68886e-04  1.24008e-04  9.86266e-05  6.72037e-05  1.54281e-05  2.04812e-05  7.31067e-05  1.78425e-04  2.82156e-04  3.73537e-04  4.64657e-04  5.15209e-04  5.43239e-04  5.36841e-04  5.57825e-04  4.81076e-04  4.27916e-04  3.78577e-04  3.52959e-04  3.03265e-04  2.82412e-04  2.21875e-04  1.88705e-04  1.31555e-04  1.15315e-04  8.33604e-05  5.68759e-05  4.13772e-05  2.46572e-05  5.87353e-06  
